,FID,Kode_Provi,Provinsi,Kasus_Posi,Kasus_Semb,Kasus_Meni
0,11,31,DKI Jakarta,406205,393166,6625
1,12,32,Jawa Barat,277553,243650,3678
2,13,33,Jawa Tengah,183027,162823,8001
3,15,35,Jawa Timur,146808,134525,10600
4,23,64,Kalimantan Timur,68136,64718,1631
5,27,73,Sulawesi Selatan,61419,60164,931
6,16,36,Banten,47101,43892,1200
7,17,51,Bali,44236,41608,1317
8,4,14,Riau,42698,37374,1050
9,14,34,Daerah Istimewa Yogyakarta,38703,33636,948
10,3,13,Sumatera Barat,36268,33058,783
11,22,63,Kalimantan Selatan,32612,29518,937
12,2,12,Sumatera Utara,29198,25952,965
13,33,94,Papua,20308,11223,207
14,6,16,Sumatera Selatan,20068,17712,979
15,21,62,Kalimantan Tengah,19780,16577,442
16,25,71,Sulawesi Utara,15638,12961,504
17,19,53,Nusa Tenggara Timur,14200,12468,366
18,8,19,Bangka Belitung,12822,11272,201
19,26,72,Sulawesi Tengah,12125,11109,325
20,24,65,Kalimantan Utara,11702,10978,186
21,9,18,Lampung,10838,9581,253
22,1,11,Aceh,10814,9367,432
23,28,74,Sulawesi Tenggara,10396,9818,209
24,18,52,Nusa Tenggara Barat,10291,7750,373
25,10,21,Kepulauan Riau,9381,8801,230
26,34,91,Papua Barat,8879,8371,147
27,31,81,Maluku,7515,7056,116
28,20,61,Kalimantan Barat,7503,6548,43
29,5,15,Jambi,7407,5987,108
30,7,17,Bengkulu,6630,5743,172
31,30,76,Sulawesi Barat,5443,5251,118
32,29,75,Gorontalo,5355,4990,161
33,32,82,Maluku Utara,4414,4117,120
